strategy,period,annualized_return,max_drawdown,sharpe,average_exposure
ret60_f0.4_r5,全周期,0.06266852794532585,-0.2192738990352865,0.49097753622256496,0.7588011417697431
ret60_f0.4_r10,设计期2018-2023,0.07290357727975727,-0.1883706532386178,0.5551682096746879,0.7702127659574468
ret60_f0.4_r10,验证期2024,-0.02417984577355703,-0.08971703604951087,-0.07735227025258633,0.6975206611570248
ret60_f0.4_r10,验证期2025-2026-08,0.09083604178831273,-0.1467119023285447,0.7103458410765472,0.7468982630272953
ret60_f0.4_r10,全周期,0.06449019009895651,-0.1883706532386178,0.5054538056387146,0.7573739295908658
ret60_f0.4_r20,设计期2018-2023,0.0853259258093515,-0.188370653238618,0.6309193052882632,0.7702127659574468
ret60_f0.4_r20,验证期2024,-0.04070678235293712,-0.08971703604951087,-0.201771274110839,0.6479338842975207
ret60_f0.4_r20,验证期2025-2026-08,0.11167230548010343,-0.1446453371964036,0.8468188387731509,0.7617866004962779
ret60_f0.4_r20,全周期,0.07477884268433233,-0.188370653238618,0.5717646519379835,0.7545195052331113
ret60_f0.4_r40,设计期2018-2023,0.08043932262107889,-0.15510982930267025,0.5963366984803192,0.7784488675360328
ret60_f0.4_r40,验证期2024,-0.03204429472470216,-0.0851581501951525,-0.14505601690422507,0.6479338842975207
ret60_f0.4_r40,验证期2025-2026-08,0.07138350847242836,-0.15567474246936908,0.565823120323212,0.7870967741935485
ret60_f0.4_r40,全周期,0.06498082416809159,-0.18544289044799844,0.5055212061560834,0.765080875356803
ret60_f0.6_r5,设计期2018-2023,0.09195234317663159,-0.1865247780702015,0.6483525266524527,0.8495538778311598
ret60_f0.6_r5,验证期2024,0.0075411615229623585,-0.12553287349288356,0.13430625969623083,0.8066115702479338
ret60_f0.6_r5,验证期2025-2026-08,0.09700678655766604,-0.17401963032665857,0.7108592827981051,0.8213399503722084
ret60_f0.6_r5,全周期,0.08266589157769055,-0.1865247780702015,0.5919067407863984,0.8392007611798288
ret60_f0.6_r10,设计期2018-2023,0.09069949056762927,-0.2039550035836597,0.6429093813617183,0.8468085106382977
ret60_f0.6_r10,验证期2024,0.009995210976052826,-0.12553287349288356,0.14766155361196495,0.7983471074380165
ret60_f0.6_r10,验证期2025-2026-08,0.10660075529735535,-0.17107832049354388,0.7724187220300688,0.8312655086848635
ret60_f0.6_r10,全周期,0.08391652187369325,-0.2039550035836597,0.6016555951461743,0.8382492863939106
ret60_f0.6_r20,设计期2018-2023,0.09908961898011492,-0.20395500358365914,0.6906135874879442,0.8468085106382977
ret60_f0.6_r20,验证期2024,-0.0013553319587189527,-0.12553287349288356,0.08047328924973057,0.7652892561983471
ret60_f0.6_r20,验证期2025-2026-08,0.12064851688540257,-0.16974187220079096,0.8576478790461967,0.8411910669975186
ret60_f0.6_r20,全周期,0.0908918205580922,-0.20395500358365914,0.6433204211372737,0.8363463368220743
