date,symbol,previous_raw_close,preclose,close,qfq_close,pctChg,implied_factor
2021-06-02,000090.SZ,6.31,5.93,5.87,4.69725031,-1.0118,1.0640809443507588
2022-07-08,000090.SZ,6.28,5.95,5.97,5.04223215,0.3361,1.0554621848739496
2023-07-14,000090.SZ,5.1,4.78,4.77,4.29842349,-0.2092,1.0669456066945606
2024-07-19,000090.SZ,4.0,3.75,3.71,3.56610023,-1.0667,1.0666666666666667
2025-07-11,000090.SZ,3.73,3.63,3.64,3.59519888,0.2755,1.0275482093663912
2026-07-21,000090.SZ,3.25,3.21,3.23,3.23,0.6231,1.0124610591900312
2022-08-19,000096.SZ,10.48,9.78,9.04,8.83189016,-7.5665,1.0715746421267895
2024-08-19,000096.SZ,9.68,9.63,9.64,9.502389,0.1038,1.0051921079958461
2025-07-11,000096.SZ,12.84,12.77,12.79,12.67652712,0.1566,1.005481597494127
2026-08-12,000096.SZ,7.89,7.82,8.33,8.33,6.5217,1.0089514066496164
2020-06-05,000099.SZ,6.94,6.89,6.95,6.64306715,0.8708,1.007256894049347
2021-04-30,000099.SZ,6.46,6.39,6.44,6.22302352,0.7825,1.0109546165884193
2022-06-08,000099.SZ,7.63,7.55,7.51,7.33386797,-0.5298,1.0105960264900662
2023-07-11,000099.SZ,10.16,10.1,9.61,9.44036428,-4.8515,1.005940594059406
2025-05-21,000099.SZ,22.9,22.78,22.77,22.57171884,-0.0439,1.0052677787532922
2026-05-21,000099.SZ,16.73,16.63,16.85,16.85,1.3229,1.006013229104029
2018-05-31,000100.SZ,3.14,3.04,3.11,2.44270596,2.302629,1.0328947368421053
2019-04-18,000100.SZ,3.96,3.86,3.82,3.07809488,-1.036268,1.0259067357512954
2020-04-30,000100.SZ,4.32,4.22,4.64,3.82743392,9.9526,1.023696682464455
2021-05-19,000100.SZ,8.75,8.63,8.58,7.17586584,-0.5794,1.0139049826187716
2022-06-02,000100.SZ,4.47,4.32,4.34,3.75578392,0.463,1.034722222222222
