symbol,first_date,last_date,rows,exchange,ends_before_dataset,current_name,name_marks_delisted
000536.SZ,2018-01-02,2026-09-11,2111,SZ,False,华映科技,False
000537.SZ,2018-01-02,2026-09-11,2111,SZ,False,绿发电力,False
000538.SZ,2018-01-02,2026-09-11,2111,SZ,False,云南白药,False
000539.SZ,2018-01-02,2026-09-11,2111,SZ,False,粤电力A,False
000540.SZ,2018-01-02,2023-06-30,1333,SZ,True,*ST中天,False
000541.SZ,2018-01-02,2026-09-11,2111,SZ,False,佛山照明,False
000543.SZ,2018-01-02,2026-09-11,2111,SZ,False,皖能电力,False
000544.SZ,2018-01-02,2026-09-11,2111,SZ,False,中原环保,False
000545.SZ,2018-01-02,2026-09-11,2111,SZ,False,金浦钛业,False
000546.SZ,2018-01-02,2026-09-11,2111,SZ,False,金圆股份,False
000547.SZ,2018-01-02,2026-09-11,2111,SZ,False,航天发展,False
000548.SZ,2018-01-02,2026-09-11,2111,SZ,False,湖南投资,False
000550.SZ,2018-01-02,2026-09-11,2111,SZ,False,江铃汽车,False
000551.SZ,2018-01-02,2026-09-11,2111,SZ,False,创元科技,False
000552.SZ,2018-01-02,2026-09-11,2111,SZ,False,甘肃能化,False
000553.SZ,2018-01-02,2026-09-11,2111,SZ,False,安道麦A,False
000554.SZ,2018-01-02,2026-09-11,2111,SZ,False,泰山石油,False
000555.SZ,2018-01-02,2026-09-11,2111,SZ,False,神州信息,False
000557.SZ,2018-01-02,2026-09-11,2111,SZ,False,西部创业,False
000558.SZ,2018-01-02,2026-09-11,2111,SZ,False,天府文旅,False
000559.SZ,2018-01-02,2026-09-11,2111,SZ,False,万向钱潮,False
000560.SZ,2018-01-02,2026-09-11,2111,SZ,False,我爱我家,False
000561.SZ,2018-01-02,2026-09-11,2111,SZ,False,烽火电子,False
000563.SZ,2018-01-02,2026-09-11,2111,SZ,False,陕国投A,False
000564.SZ,2018-01-02,2026-09-11,2111,SZ,False,供销大集,False
000565.SZ,2018-01-02,2026-09-11,2111,SZ,False,渝三峡A,False
000566.SZ,2018-01-02,2026-09-11,2111,SZ,False,海南海药,False
000567.SZ,2018-01-02,2026-09-11,2111,SZ,False,海德股份,False
000568.SZ,2018-01-02,2026-09-11,2111,SZ,False,泸州老窖,False
000570.SZ,2018-01-02,2026-09-11,2111,SZ,False,苏常柴A,False
000571.SZ,2018-01-02,2026-09-11,2111,SZ,False,新大洲A,False
000572.SZ,2018-01-02,2026-09-11,2111,SZ,False,海马汽车,False
000573.SZ,2018-01-02,2026-09-11,2111,SZ,False,粤宏远A,False
000576.SZ,2018-01-02,2026-09-11,2111,SZ,False,甘化科工,False
000581.SZ,2018-01-02,2026-09-11,2111,SZ,False,威孚高科,False
000582.SZ,2018-01-02,2026-09-11,2111,SZ,False,北部湾港,False
