date,equity,cash,positions
2025-01-07,24117758.138080657,20507849.858080655,2
2025-01-08,23973493.378080655,20507849.858080655,2
2025-01-09,23968594.358080655,20507849.858080655,2
2025-01-10,23928350.718080655,20507849.858080655,2
2025-01-13,23971895.021056347,22179587.621056348,1
2025-01-14,24040536.58105635,22179587.621056348,1
2025-01-15,24004228.9039971,11354675.843997099,6
2025-01-16,24024559.4139971,11354675.843997099,6
2025-01-17,24024663.4839971,11354675.843997099,6
2025-01-20,23926278.574513458,8947637.494513458,7
2025-01-21,23799164.944513455,8947637.494513458,7
2025-01-22,23636176.644531317,10935654.194531316,6
2025-01-23,23802879.544531316,10935654.194531316,6
2025-01-24,24322887.764531314,10935654.194531316,6
2025-01-27,23856425.694531314,10935654.194531316,6
2025-02-05,24323533.32094235,14261109.390942352,5
2025-02-06,25153815.860467754,12076046.700467754,6
2025-02-07,25179266.220467754,12076046.700467754,6
2025-02-10,26110472.027935274,9540697.977935273,7
2025-02-11,26075165.385403946,10927935.665403944,7
2025-02-12,26225691.26540394,10927935.665403944,7
2025-02-13,25961994.45704153,13797406.007041534,6
2025-02-14,25930808.31328759,19590999.11328759,3
2025-02-17,25993193.243287593,19590999.11328759,3
2025-02-18,25776376.75328759,19590999.11328759,3
2025-02-19,25979453.8995731,22094596.2895731,2
2025-02-20,26001306.755260155,23603196.435260154,1
2025-02-21,26046978.355260156,23603196.435260154,1
2025-02-24,26377921.795260154,23603196.435260154,1
2025-02-25,26339979.235260155,23603196.435260154,1
2025-02-26,26376516.515260153,23603196.435260154,1
2025-02-27,26455914.835260153,23603196.435260154,1
2025-02-28,26505802.275260154,23603196.435260154,1
2025-03-03,26406499.206023715,20949083.346023716,2
2025-03-04,26383681.866023716,20949083.346023716,2
2025-03-05,26451865.586023718,20949083.346023716,2
2025-03-06,26563617.626023717,20949083.346023716,2
2025-03-07,26510075.106023714,20949083.346023716,2
2025-03-10,26700070.506023716,20949083.346023716,2
2025-03-11,26615730.706023715,20949083.346023716,2
2025-03-12,26504187.741493955,23961950.241493955,1
2025-03-13,26396951.541493956,23961950.241493955,1
2025-03-14,26395644.255301714,26395644.255301714,0
2025-03-17,26395644.255301714,26395644.255301714,0
2025-03-18,26410107.223172188,23755319.91317219,1
2025-03-19,26209650.813172188,23755319.91317219,1
2025-03-20,26213140.383172188,23755319.91317219,1
2025-03-21,26198891.70829102,26198891.70829102,0
2025-03-24,26198891.70829102,26198891.70829102,0
2025-03-25,26198891.70829102,26198891.70829102,0
2025-03-26,26198891.70829102,26198891.70829102,0
2025-03-27,26198891.70829102,26198891.70829102,0
2025-03-28,26198891.70829102,26198891.70829102,0
2025-03-31,26198891.70829102,26198891.70829102,0
2025-04-01,26198891.70829102,26198891.70829102,0
2025-04-02,26198891.70829102,26198891.70829102,0
2025-04-03,26198891.70829102,26198891.70829102,0
2025-04-07,26198891.70829102,26198891.70829102,0
2025-04-08,26609296.199453592,7330018.049453592,8
2025-04-09,27525938.654821806,24.80482180719264,11
2025-04-10,29744451.15482181,24.80482180719264,11
2025-04-11,30175600.704821806,24.80482180719264,11
2025-04-14,30665871.99275541,1689546.6227554071,11
2025-04-15,30629753.678154495,15.608154494315386,12
2025-04-16,29927016.55310817,1653551.4131081712,12
2025-04-17,30143701.698199023,7.008199021453038,13
2025-04-18,30007733.067550346,1358901.7675503374,13
2025-04-21,30867228.75333264,1551917.1533326316,13
2025-04-22,30581847.135781996,1440129.8157820012,13
2025-04-23,31808928.395782,1440129.8157820012,13
2025-04-24,31415112.248945836,2966498.9189458373,13
2025-04-25,31781340.954755265,1683681.7647552653,14
