date,equity,cash,holdings
2022-02-15,15000238.284433002,620.2844330017626,38
2022-02-16,15258332.284433002,620.2844330017626,38
2022-02-17,15291533.284433002,620.2844330017626,38
2022-02-18,15495909.284433002,620.2844330017626,38
2022-02-21,15695584.284433002,620.2844330017626,38
2022-02-22,15581017.284433002,620.2844330017626,38
2022-02-23,15750358.284433002,620.2844330017626,38
2022-02-24,15435746.284433002,620.2844330017626,38
2022-02-25,15457402.284433002,620.2844330017626,38
2022-02-28,15548990.284433002,620.2844330017626,38
2022-03-01,15578438.663039204,295102.66303920257,32
2022-03-02,15580760.663039204,295102.66303920257,32
2022-03-03,15674545.663039204,295102.66303920257,32
2022-03-04,15274962.663039204,295102.66303920257,32
2022-03-07,14956607.663039204,295102.66303920257,32
2022-03-08,14317950.663039204,295102.66303920257,32
2022-03-09,14021948.663039204,295102.66303920257,32
2022-03-10,14304888.663039204,295102.66303920257,32
2022-03-11,14294736.663039204,295102.66303920257,32
2022-03-14,13872889.663039204,295102.66303920257,32
2022-03-15,13029933.663039204,295102.66303920257,32
2022-03-16,13473484.663039204,295102.66303920257,32
2022-03-17,13744820.663039204,295102.66303920257,32
2022-03-18,14027369.663039202,295102.66303920257,32
2022-03-21,14114660.663039204,295102.66303920257,32
2022-03-22,14149510.663039204,295102.66303920257,32
2022-03-23,14130136.663039204,295102.66303920257,32
2022-03-24,13984293.663039204,295102.66303920257,32
2022-03-25,13916406.663039204,295102.66303920257,32
2022-03-28,13899886.663039204,295102.66303920257,32
2022-03-29,13695320.663039204,295102.66303920257,32
2022-03-30,13982547.663039204,295102.66303920257,32
2022-03-31,13906225.663039204,295102.66303920257,32
2022-04-01,13843797.456654405,643348.456654405,30
2022-04-06,13845947.456654405,643348.456654405,30
2022-04-07,13461202.456654405,643348.456654405,30
2022-04-08,13259805.456654405,643348.456654405,30
2022-04-11,12796227.456654405,643348.456654405,30
2022-04-12,13016616.456654405,643348.456654405,30
2022-04-13,12717027.456654405,643348.456654405,30
2022-04-14,12820901.456654405,643348.456654405,30
2022-04-15,12724286.456654405,643348.456654405,30
2022-04-18,12948319.456654405,643348.456654405,30
2022-04-19,12922019.456654405,643348.456654405,30
2022-04-20,12742824.456654405,643348.456654405,30
2022-04-21,12220632.456654405,643348.456654405,30
2022-04-22,12110716.456654405,643348.456654405,30
2022-04-25,11202434.456654405,643348.456654405,30
2022-04-26,10706784.456654405,643348.456654405,30
2022-04-27,11132797.456654405,643348.456654405,30
2022-04-28,11088687.456654405,643348.456654405,30
2022-04-29,11640031.456654405,643348.456654405,30
2022-05-05,11972075.780986605,260430.78098660504,23
2022-05-06,11847114.780986605,260430.78098660504,23
2022-05-09,11962670.780986605,260430.78098660504,23
2022-05-10,12341826.780986605,260430.78098660504,23
2022-05-11,12690965.780986605,260430.78098660504,23
2022-05-12,12702528.780986605,260430.78098660504,23
2022-05-13,12858767.780986605,260430.78098660504,23
2022-05-16,12742178.780986605,260430.78098660504,23
2022-05-17,12920619.780986605,271080.780986605,23
2022-05-18,13062073.780986605,271080.780986605,23
2022-05-19,13284959.780986605,271080.780986605,23
2022-05-20,13581473.780986605,271080.780986605,23
2022-05-23,13926335.780986605,271080.780986605,23
2022-05-24,13309129.780986605,271080.780986605,23
2022-05-25,13666501.780986605,271080.780986605,23
2022-05-26,13592679.780986605,271080.780986605,23
2022-05-27,13400718.780986605,271080.780986605,23
2022-05-30,13578933.780986605,271080.780986605,23
2022-05-31,13798232.780986605,271080.780986605,23
2022-06-01,13798831.554789606,1206540.5547896056,23
2022-06-02,13749116.554789606,1206540.5547896056,23
2022-06-06,14085864.554789606,1206540.5547896056,23
2022-06-07,14293531.554789606,1206540.5547896056,23
2022-06-08,14280993.554789606,1206540.5547896056,23
2022-06-09,14048621.554789606,1206540.5547896056,23
2022-06-10,14251301.554789606,1206540.5547896056,23
2022-06-13,14318361.554789606,1206540.5547896056,23
2022-06-14,14416589.554789606,1206540.5547896056,23
2022-06-15,14451703.554789606,1206540.5547896056,23
2022-06-16,14488041.554789606,1206540.5547896056,23
2022-06-17,14570002.554789606,1237235.5547896056,23
2022-06-20,14834428.554789606,1237235.5547896056,23
2022-06-21,14812931.554789606,1237235.5547896056,23
2022-06-22,14638583.554789606,1237235.5547896056,23
2022-06-23,14853340.554789606,1237235.5547896056,23
2022-06-24,14932184.554789606,1241513.5547896056,23
2022-06-27,15075568.554789606,1260665.5547896056,23
2022-06-28,15119009.554789606,1260665.5547896056,23
2022-06-29,14811519.554789606,1260665.5547896056,23
2022-06-30,14873223.554789606,1260665.5547896056,23
2022-07-01,14839890.970905805,6530324.970905805,24
2022-07-04,14879193.970905805,6530324.970905805,24
2022-07-05,14863519.970905805,6530324.970905805,24
2022-07-06,14730650.970905805,6530324.970905805,24
2022-07-07,14746129.970905805,6530324.970905805,24
2022-07-08,14752269.970905805,6530324.970905805,24
2022-07-11,14742191.070905805,6530324.970905805,24
2022-07-12,14719251.570905805,6530324.970905805,24
2022-07-13,14753611.070905805,6530324.970905805,24
2022-07-14,14747578.070905805,6530324.970905805,24
2022-07-15,14584353.570905805,6530324.970905805,24
2022-07-18,14819215.170905804,6530324.970905805,24
2022-07-19,14867044.570905805,6533312.970905805,24
2022-07-20,14894951.670905804,6538272.970905805,24
2022-07-21,14896459.570905805,6538272.970905805,24
2022-07-22,14930182.470905803,6538272.970905805,24
2022-07-25,14858152.470905805,6538272.970905805,24
2022-07-26,14950445.770905804,6538272.970905805,24
2022-07-27,15019285.270905804,6538272.970905805,24
2022-07-28,15013913.970905805,6538272.970905805,24
2022-07-29,14968015.670905806,6541147.970905805,24
2022-08-01,15078260.444572605,3075767.0445726053,32
2022-08-02,14711546.144572606,3075767.0445726053,32
2022-08-03,14642262.244572606,3075767.0445726053,32
2022-08-04,14782487.444572605,3075767.0445726053,32
2022-08-05,14888327.544572607,3080897.0445726053,32
2022-08-08,15197495.344572606,3080897.0445726053,32
2022-08-09,15120136.444572605,3080897.0445726053,32
2022-08-10,15194630.544572607,3080897.0445726053,32
2022-08-11,15337573.944572605,3080897.0445726053,32
2022-08-12,15346519.144572606,3080897.0445726053,32
2022-08-15,15453954.244572606,3080897.0445726053,32
2022-08-16,15485271.844572606,3080897.0445726053,32
2022-08-17,15584059.044572605,3080897.0445726053,32
2022-08-18,15648525.744572606,3080897.0445726053,32
2022-08-19,15592683.544572605,3080897.0445726053,32
2022-08-22,15576029.044572607,3080897.0445726053,32
2022-08-23,15808084.244572606,3080897.0445726053,32
2022-08-24,15530266.744572606,3080897.0445726053,32
2022-08-25,15656465.144572604,3080897.0445726053,32
2022-08-26,15705877.644572604,3083497.0445726053,32
2022-08-29,15957532.944572605,3083497.0445726053,32
2022-08-30,15770271.444572605,3083497.0445726053,32
2022-08-31,15336899.944572605,3083497.0445726053,32
2022-09-01,15358256.877270203,346235.877270204,34
2022-09-02,15404614.877270203,346235.877270204,34
2022-09-05,15438236.877270203,346235.877270204,34
2022-09-06,15653662.877270203,346235.877270204,34
2022-09-07,15642284.877270203,346235.877270204,34
2022-09-08,15553516.877270203,346235.877270204,34
2022-09-09,15694565.877270203,346235.877270204,34
2022-09-13,15682850.877270203,346235.877270204,34
2022-09-14,15629247.877270203,346235.877270204,34
2022-09-15,15424690.877270205,346235.877270204,34
2022-09-16,15063203.877270203,346235.877270204,34
2022-09-19,14847013.877270203,346235.877270204,34
2022-09-20,15054070.877270203,346235.877270204,34
2022-09-21,15110987.877270203,346235.877270204,34
2022-09-22,14929688.877270203,346235.877270204,34
2022-09-23,14703350.877270203,346235.877270204,34
2022-09-26,14327059.877270203,346235.877270204,34
2022-09-27,14724919.877270203,346235.877270204,34
2022-09-28,14431387.877270203,346235.877270204,34
2022-09-29,14255862.877270203,346235.877270204,34
2022-09-30,14253957.877270203,346235.877270204,34
2022-10-10,14067641.568970803,647598.5689708032,30
2022-10-11,14223801.568970803,647598.5689708032,30
2022-10-12,14677439.568970803,647598.5689708032,30
2022-10-13,14643946.568970803,647598.5689708032,30
2022-10-14,15033572.568970803,647598.5689708032,30
2022-10-17,15131873.568970803,647598.5689708032,30
2022-10-18,15207317.568970803,647598.5689708032,30
2022-10-19,15119573.568970803,647598.5689708032,30
2022-10-20,15062615.568970803,647598.5689708032,30
2022-10-21,15151836.568970803,647598.5689708032,30
2022-10-24,14895406.568970803,647598.5689708032,30
2022-10-25,14951320.568970803,647598.5689708032,30
2022-10-26,15206602.568970803,647598.5689708032,30
2022-10-27,15146729.568970803,647598.5689708032,30
2022-10-28,14413163.568970803,647598.5689708032,30
2022-10-31,14483115.568970803,647598.5689708032,30
2022-11-01,14842867.141019003,503864.1410190029,25
2022-11-02,15064359.141019003,503864.1410190029,25
2022-11-03,15133390.141019003,503864.1410190029,25
2022-11-04,15655138.141019003,503864.1410190029,25
2022-11-07,15832867.141019003,503864.1410190029,25
2022-11-08,15780140.141019003,503864.1410190029,25
2022-11-09,15825457.141019003,503864.1410190029,25
2022-11-10,15650784.141019003,503864.1410190029,25
2022-11-11,16179952.141019003,503864.1410190029,25
2022-11-14,16216651.141019003,503864.1410190029,25
2022-11-15,16614786.141019003,503864.1410190029,25
2022-11-16,16388619.141019003,503864.1410190029,25
2022-11-17,16240073.141019003,503864.1410190029,25
2022-11-18,16066511.141019003,503864.1410190029,25
2022-11-21,16153639.141019003,503864.1410190029,25
2022-11-22,16160156.141019003,503864.1410190029,25
2022-11-23,16297440.141019003,503864.1410190029,25
2022-11-24,16381988.141019003,503864.1410190029,25
2022-11-25,16511176.141019003,503864.1410190029,25
2022-11-28,16390328.141019003,503864.1410190029,25
2022-11-29,17057225.141019,503864.1410190029,25
2022-11-30,16959792.141019,503864.1410190029,25
2022-12-01,17245829.958562806,3460406.9585628053,23
2022-12-02,17274948.958562806,3460406.9585628053,23
2022-12-05,17402490.958562806,3460406.9585628053,23
2022-12-06,17561537.958562806,3460406.9585628053,23
2022-12-07,17519407.958562806,3460406.9585628053,23
2022-12-08,17403059.958562806,3460406.9585628053,23
2022-12-09,17447316.958562806,3460406.9585628053,23
