date,equity_local,cash_local,holdings_local,equity_platform,cash_platform,holdings_platform,equity_gap,equity_gap_pct
2021-12-23,14690597.0969662,33778.09696620057,31,14802026.68,2590063.68,33,-111429.58303380013,-0.007527995013301814
2021-12-24,14573341.0969662,33778.09696620057,31,14656220.68,2590063.68,33,-82879.58303380013,-0.0056549082361251335
2021-12-27,14622158.0969662,33778.09696620057,31,14734095.68,2590063.68,33,-111937.58303380013,-0.007597180408278725
2021-12-28,14502869.0969662,33778.09696620057,31,14734072.68,2590063.68,33,-231203.58303380013,-0.015691763442136075
2021-12-29,14437958.0969662,33778.09696620057,31,14778457.68,2590063.68,33,-340499.5830338001,-0.02304026512148194
2021-12-30,14499981.0969662,33778.09696620057,31,14880821.68,2590063.68,33,-380840.5830338001,-0.025592711963322134
2021-12-31,14711105.0969662,33778.09696620057,31,15034695.68,2590063.68,33,-323590.5830338001,-0.021522922041199544
2022-01-04,15035136.3271682,1321154.3271682002,26,15309312.51,693806.51,31,-274176.1828317996,-0.017909111376014364
2022-01-05,14958468.3271682,1321154.3271682002,26,15021106.51,693806.51,31,-62638.18283179961,-0.004170011229871706
2022-01-06,14963083.3271682,1321154.3271682002,26,15063952.51,693806.51,31,-100869.18283179961,-0.006696063517515616
2022-01-07,15022283.3271682,1321154.3271682002,26,14961132.51,693806.51,31,61150.81716820039,0.004087312048558278
2022-01-10,15116867.3271682,1321154.3271682002,26,14956809.51,693806.51,31,160057.8171682004,0.010701334202403823
2022-01-11,15237131.3271682,1321154.3271682002,26,14957755.51,693806.51,31,279375.8171682004,0.01867765634900387
2022-01-12,15285338.3271682,1321154.3271682002,26,15090492.51,693806.51,31,194845.8171682004,0.012911826240202595
2022-01-13,15261619.3271682,1321154.3271682002,26,15117453.51,693806.51,31,144165.8171682004,0.009536382372390628
2022-01-14,15052331.3271682,1321154.3271682002,26,14822609.51,693806.51,31,229721.8171682004,0.015498068475272131
2022-01-17,15108551.3271682,1321154.3271682002,26,14954953.51,693806.51,31,153597.8171682004,0.01027069840541417
2022-01-18,15118548.3271682,1321154.3271682002,26,14894238.51,693806.51,31,224309.8171682004,0.015060173570981661
2022-01-19,15287934.3271682,1321154.3271682002,26,14938995.51,693806.51,31,348938.8171682004,0.023357582304287083
2022-01-20,15117770.3271682,1321154.3271682002,26,14685024.51,693806.51,31,432745.8171682004,0.02946851173952858
2022-01-21,14997766.3271682,1321154.3271682002,26,14626518.51,693806.51,31,371247.8171682004,0.025381830742181144
2022-01-24,14989772.3271682,1321154.3271682002,26,14602696.51,693806.51,31,387075.8171682004,0.02650714660152853
2022-01-25,14531602.3271682,1321154.3271682002,26,14064125.51,693806.51,31,467476.8171682004,0.03323895373628538
2022-01-26,14663734.3271682,1321154.3271682002,26,14114450.51,693806.51,31,549283.8171682004,0.038916415256763814
2022-01-27,14483969.3271682,1321154.3271682002,26,13763956.51,693806.51,31,720012.8171682004,0.05231147138870185
2022-01-28,14560882.3271682,1321154.3271682002,26,13937997.51,693806.51,31,622884.8171682004,0.04468969209682405
2022-02-07,14804149.284433002,620.2844330017626,38,14087268.99,803.99,37,716880.2944330014,0.05088852175264669
2022-02-08,15026913.284433002,620.2844330017626,38,14282875.99,803.99,37,744037.2944330014,0.05209296047616263
2022-02-09,15199556.284433002,620.2844330017626,38,14525534.99,803.99,37,674021.2944330014,0.04640251081265001
2022-02-10,15348717.284433002,620.2844330017626,38,14573270.99,803.99,37,775446.2944330014,0.053210174638562924
2022-02-11,15243975.284433002,620.2844330017626,38,14336538.99,803.99,37,907436.2944330014,0.06329535287881938
2022-02-14,15056121.284433002,620.2844330017626,38,14210181.99,803.99,37,845939.2944330014,0.059530503904053234
2022-02-15,15000238.284433002,620.2844330017626,38,14266462.99,803.99,37,733775.2944330014,0.05143358202711745
2022-02-16,15258332.284433002,620.2844330017626,38,14510800.99,803.99,37,747531.2944330014,0.05151550868543753
2022-02-17,15291533.284433002,620.2844330017626,38,14487682.99,803.99,37,803850.2944330014,0.055485083086636466
2022-02-18,15495909.284433002,620.2844330017626,38,14524666.99,803.99,37,971242.2944330014,0.06686847244771155
2022-02-21,15695584.284433002,620.2844330017626,38,14679950.99,803.99,37,1015633.2944330014,0.06918506029923743
2022-02-22,15581017.284433002,620.2844330017626,38,14544917.99,803.99,37,1036099.2944330014,0.07123445420217189
2022-02-23,15750358.284433002,620.2844330017626,38,14789954.99,803.99,37,960403.2944330014,0.0649361877762551
2022-02-24,15435746.284433002,620.2844330017626,38,14492592.99,803.99,37,943153.2944330014,0.06507829862356473
2022-02-25,15457402.284433002,620.2844330017626,38,14578572.99,803.99,37,878829.2944330014,0.06028225773783369
2022-02-28,15548990.284433002,620.2844330017626,38,14610635.99,803.99,37,938354.2944330014,0.06422405534401388
2022-03-01,15578438.663039204,295102.66303920257,32,14668529.67,106.67,33,909908.9930392038,0.06203137011749349
2022-03-02,15580760.663039204,295102.66303920257,32,14612473.67,106.67,33,968286.9930392038,0.06626441319289667
2022-03-03,15674545.663039204,295102.66303920257,32,14590843.67,106.67,33,1083701.9930392038,0.07427274375280901
2022-03-04,15274962.663039204,295102.66303920257,32,14336033.67,106.67,33,938928.9930392038,0.06549433508963043
2022-03-07,14956607.663039204,295102.66303920257,32,14136292.67,106.67,33,820314.9930392038,0.05802900464702976
2022-03-08,14317950.663039204,295102.66303920257,32,13659492.67,106.67,33,658457.9930392038,0.04820515731783792
2022-03-09,14021948.663039204,295102.66303920257,32,13403362.67,106.67,33,618585.9930392038,0.04615155228349899
2022-03-10,14304888.663039204,295102.66303920257,32,13595112.67,106.67,33,709775.9930392038,0.05220817291242086
2022-03-11,14294736.663039204,295102.66303920257,32,13580361.67,106.67,33,714374.9930392038,0.05260353224740033
2022-03-14,13872889.663039204,295102.66303920257,32,13175139.67,106.67,33,697749.9930392038,0.05295958984237492
2022-03-15,13029933.663039204,295102.66303920257,32,12312926.67,106.67,33,717006.9930392038,0.05823205256197661
2022-03-16,13473484.663039204,295102.66303920257,32,12672200.67,106.67,33,801283.9930392038,0.06323163702230139
2022-03-17,13744820.663039204,295102.66303920257,32,12925147.67,106.67,33,819672.9930392038,0.06341691514610015
2022-03-18,14027369.663039202,295102.66303920257,32,13159315.67,106.67,33,868053.993039202,0.06596497985211736
2022-03-21,14114660.663039204,295102.66303920257,32,13211583.67,106.67,33,903076.9930392038,0.06835493878677479
2022-03-22,14149510.663039204,295102.66303920257,32,13252826.67,106.67,33,896683.9930392038,0.06765982951161642
2022-03-23,14130136.663039204,295102.66303920257,32,13260818.67,106.67,33,869317.9930392038,0.06555537894548435
