日期,时间,代码,名称,操作,成交价,数量,金额,佣金,印花税
2026-08-03,09:31:00,605060.SH,联德股份,买入,36.072,21400,771940.80,231.58,0.00
2026-08-03,09:31:00,601231.SH,环旭电子,买入,21.603,64100,1384759.99,415.43,0.00
2026-08-03,09:31:00,605377.SH,华旺科技,卖出,8.683,-28200,-244849.32,73.45,244.85
2026-08-03,09:31:00,603115.SH,海星股份,买入,68.006,14000,952080.36,285.62,0.00
2026-08-03,09:31:00,605168.SH,三人行,买入,36.232,35900,1300740.29,390.22,0.00
2026-08-03,09:31:00,605299.SH,舒华体育,买入,11.523,70500,812371.50,243.71,0.00
2026-08-03,09:31:00,603998.SH,方盛制药,卖出,9.481,-31100,-294859.10,88.46,294.86
2026-08-03,09:31:00,603706.SH,东方环宇,卖出,18.782,-2300,-43199.43,12.96,43.20
2026-08-03,09:31:00,603970.SH,中农立华,卖出,10.279,-3100,-31866.14,9.56,31.87
2026-08-03,09:31:00,603948.SH,建业股份,卖出,19.291,-6900,-133110.25,39.93,133.11
2026-08-03,09:31:00,603928.SH,兴业股份,卖出,10.579,-57500,-608281.00,182.48,608.28
2026-08-03,09:31:00,003018.SZ,金富科技,买入,33.066,29300,968833.80,290.65,0.00
2026-08-03,09:31:00,603163.SH,圣晖集成,买入,72.946,13600,992060.16,297.62,0.00
2026-08-03,09:31:00,603967.SH,中创物流,卖出,11.467,-16800,-192645.94,57.79,192.65
2026-08-03,09:31:00,603167.SH,渤海轮渡,卖出,8.732,-21300,-186002.25,55.80,186.00
2026-08-03,09:31:00,600350.SH,山东高速,卖出,11.347,-57800,-655871.63,196.76,655.87
2026-08-03,09:31:00,605589.SH,圣泉集团,买入,33.848,34200,1157586.55,347.28,0.00
2026-08-03,09:31:00,603682.SH,锦和商管,卖出,9.970,-15400,-153538.31,46.06,153.54
2026-08-03,09:31:00,603006.SH,联明股份,卖出,10.349,-18800,-194566.09,58.37,194.57
2026-08-03,09:31:00,600790.SH,轻纺城,卖出,3.253,-97200,-316238.26,94.87,316.24
2026-08-03,09:31:00,603002.SH,宏昌电子,买入,12.124,89100,1080266.22,324.08,0.00
2026-08-03,09:31:00,603700.SH,宁水集团,卖出,10.928,-20900,-228397.29,68.52,228.40
2026-08-03,09:31:00,601528.SH,瑞丰银行,卖出,5.050,-56900,-287338.17,86.20,287.34
2026-08-03,09:31:00,603213.SH,镇洋发展,卖出,13.762,-10200,-140376.68,42.11,140.38
2026-08-03,09:31:00,603639.SH,海利尔,卖出,10.569,-4400,-46502.81,13.95,46.50
2026-08-03,09:31:00,603071.SH,物产环能,卖出,12.036,-15200,-182945.38,54.88,182.95
2026-08-03,09:31:00,601199.SH,江南水务,卖出,5.589,-61900,-345946.72,103.78,345.95
2026-08-03,09:31:00,002327.SZ,富安娜,卖出,6.547,-22300,-145995.42,43.80,146.00
2026-08-03,09:31:00,601928.SH,凤凰传媒,卖出,9.990,-65500,-654343.69,196.30,654.34
2026-08-03,09:31:00,601827.SH,三峰环境,卖出,8.443,-17900,-151131.13,45.34,151.13
2026-08-03,09:31:00,601886.SH,江河集团,卖出,8.573,-19200,-164598.14,49.38,164.60
2026-08-03,09:31:00,600713.SH,南京医药,卖出,5.060,-48900,-247427.15,74.23,247.43
2026-08-03,09:31:00,603183.SH,建研院,卖出,4.082,-62700,-255930.11,76.78,255.93
2026-08-03,09:31:00,601033.SH,永兴股份,卖出,14.511,-20800,-301827.14,90.55,301.83
2026-08-03,09:31:00,600368.SH,五洲交通,卖出,3.872,-41300,-159923.51,47.98,159.92
2026-08-03,09:31:00,603368.SH,柳药集团,卖出,15.689,-13500,-211795.56,63.54,211.80
2026-08-03,09:31:00,600007.SH,中国国贸,卖出,19.052,-15800,-301018.76,90.31,301.02
2026-08-03,09:31:00,601107.SH,四川成渝,卖出,5.918,-103100,-610160.23,183.05,610.16
2026-07-01,09:31:00,600368.SH,五洲交通,买入,3.377,41300,139459.36,41.84,0.00
2026-07-01,09:31:00,601827.SH,三峰环境,买入,7.285,17900,130393.27,39.12,0.00
2026-07-01,09:31:00,605377.SH,华旺科技,买入,9.399,54200,509412.79,152.82,0.00
2026-07-01,09:31:00,603167.SH,渤海轮渡,卖出,8.563,-14800,-126730.03,38.02,126.73
