name,symbol,market,industry,ipo_date,region,connect
爱威科技,688067.SH,科创板,医疗保健,2021-06-16,湖南,N
热景生物,688068.SH,科创板,医疗保健,2019-09-30,北京,沪股通
德林海,688069.SH,科创板,环境保护,2020-07-22,江苏,N
纵横股份,688070.SH,科创板,航空,2021-02-10,四川,N
华依科技,688071.SH,科创板,专用机械,2021-07-29,上海,N
拓荆科技,688072.SH,科创板,半导体,2022-04-20,辽宁,沪股通
毕得医药,688073.SH,科创板,化学制药,2022-10-11,上海,沪股通
安旭生物,688075.SH,科创板,医疗保健,2021-11-18,浙江,沪股通
ST诺泰,688076.SH,科创板,生物制药,2021-05-20,江苏,N
大地熊,688077.SH,科创板,矿物制品,2020-07-22,安徽,N
龙软科技,688078.SH,科创板,软件服务,2019-12-30,北京,N
美迪凯,688079.SH,科创板,元器件,2021-03-02,浙江,沪股通
映翰通,688080.SH,科创板,通信设备,2020-02-12,北京,N
兴图新科,688081.SH,科创板,软件服务,2020-01-06,湖北,N
盛美上海,688082.SH,科创板,半导体,2021-11-18,上海,沪股通
中望软件,688083.SH,科创板,软件服务,2021-03-11,广东,沪股通
晶品特装,688084.SH,科创板,专用机械,2022-12-08,北京,沪股通
三友医疗,688085.SH,科创板,医疗保健,2020-04-09,上海,沪股通
英科再生,688087.SH,科创板,环境保护,2021-07-09,山东,沪股通
虹软科技,688088.SH,科创板,软件服务,2019-07-22,浙江,沪股通
ST嘉必优,688089.SH,科创板,食品,2019-12-19,湖北,N
瑞松科技,688090.SH,科创板,专用机械,2020-02-17,广东,沪股通
上海谊众,688091.SH,科创板,化学制药,2021-09-09,上海,沪股通
爱科科技,688092.SH,科创板,专用机械,2021-03-19,浙江,N
世华科技,688093.SH,科创板,化工原料,2020-09-30,江苏,沪股通
福昕软件,688095.SH,科创板,软件服务,2020-09-08,福建,沪股通
京源环保,688096.SH,科创板,环境保护,2020-04-09,江苏,N
博众精工,688097.SH,科创板,专用机械,2021-05-12,江苏,沪股通
申联生物,688098.SH,科创板,农业综合,2019-10-28,上海,N
晶晨股份,688099.SH,科创板,半导体,2019-08-08,上海,沪股通
威胜信息,688100.SH,科创板,通信设备,2020-01-21,湖南,沪股通
三达膜,688101.SH,科创板,环境保护,2019-11-15,陕西,沪股通
斯瑞新材,688102.SH,科创板,铜,2022-03-16,陕西,沪股通
国力电子,688103.SH,科创板,元器件,2021-09-10,江苏,沪股通
诺唯赞,688105.SH,科创板,生物制药,2021-11-15,江苏,沪股通
金宏气体,688106.SH,科创板,化工原料,2020-06-16,江苏,沪股通
安路科技,688107.SH,科创板,半导体,2021-11-12,上海,沪股通
赛诺医疗,688108.SH,科创板,医疗保健,2019-10-30,天津,沪股通
品茗科技,688109.SH,科创板,软件服务,2021-03-30,浙江,沪股通
东芯股份,688110.SH,科创板,半导体,2021-12-10,上海,沪股通
金山办公,688111.SH,科创板,软件服务,2019-11-18,北京,沪股通
鼎阳科技,688112.SH,科创板,电器仪表,2021-12-01,深圳,沪股通
联测科技,688113.SH,科创板,专用机械,2021-05-06,江苏,N
华大智造,688114.SH,科创板,医疗保健,2022-09-09,深圳,沪股通
思林杰,688115.SH,科创板,电器仪表,2022-03-14,广东,N
天奈科技,688116.SH,科创板,化工原料,2019-09-25,江苏,沪股通
圣诺生物,688117.SH,科创板,生物制药,2021-06-03,四川,沪股通
普元信息,688118.SH,科创板,软件服务,2019-12-04,上海,N
中钢洛耐,688119.SH,科创板,其他建材,2022-06-06,河南,沪股通
华海清科,688120.SH,科创板,半导体,2022-06-08,天津,沪股通
*ST卓然,688121.SH,科创板,专用机械,2021-09-06,上海,N
西部超导,688122.SH,科创板,小金属,2019-07-22,陕西,沪股通
聚辰股份,688123.SH,科创板,半导体,2019-12-23,上海,沪股通
安达智能,688125.SH,科创板,专用机械,2022-04-15,广东,沪股通
沪硅产业,688126.SH,科创板,半导体,2020-04-20,上海,沪股通
蓝特光学,688127.SH,科创板,元器件,2020-09-21,浙江,沪股通
中国电研,688128.SH,科创板,专用机械,2019-11-05,广东,沪股通
东来技术,688129.SH,科创板,染料涂料,2020-10-23,上海,N
晶华微,688130.SH,科创板,半导体,2022-07-29,浙江,N
皓元医药,688131.SH,科创板,化学制药,2021-06-08,上海,沪股通
邦彦技术,688132.SH,科创板,通信设备,2022-09-23,深圳,N
泰坦科技,688133.SH,科创板,化工原料,2020-10-30,上海,N
利扬芯片,688135.SH,科创板,半导体,2020-11-11,广东,沪股通
科兴制药,688136.SH,科创板,生物制药,2020-12-14,山东,沪股通
近岸蛋白,688137.SH,科创板,生物制药,2022-09-29,江苏,N
清溢光电,688138.SH,科创板,半导体,2019-11-20,深圳,沪股通
海尔生物,688139.SH,科创板,医疗保健,2019-10-25,山东,沪股通
杰华特,688141.SH,科创板,半导体,2022-12-23,浙江,沪股通
长盈通,688143.SH,科创板,通信设备,2022-12-12,湖北,沪股通
中船特气,688146.SH,科创板,半导体,2023-04-21,河北,沪股通
微导纳米,688147.SH,科创板,专用机械,2022-12-23,江苏,沪股通
芳源股份,688148.SH,科创板,电气设备,2021-08-06,广东,N
莱特光电,688150.SH,科创板,元器件,2022-03-18,陕西,沪股通
华强科技,688151.SH,科创板,医疗保健,2021-12-06,湖北,沪股通
麒麟信安,688152.SH,科创板,软件服务,2022-10-28,湖南,N
唯捷创芯,688153.SH,科创板,半导体,2022-04-12,天津,沪股通
先惠技术,688155.SH,科创板,电气设备,2020-08-11,上海,沪股通
路德科技,688156.SH,科创板,饲料,2020-09-22,湖北,N
松井股份,688157.SH,科创板,染料涂料,2020-06-09,湖南,沪股通
优刻得,688158.SH,科创板,软件服务,2020-01-20,上海,N
有方科技,688159.SH,科创板,通信设备,2020-01-23,深圳,沪股通
步科股份,688160.SH,科创板,电器仪表,2020-11-12,上海,沪股通
威高骨科,688161.SH,科创板,医疗保健,2021-06-30,山东,沪股通
巨一科技,688162.SH,科创板,专用机械,2021-11-10,安徽,N
赛伦生物,688163.SH,科创板,生物制药,2022-03-11,上海,N
埃夫特,688165.SH,科创板,专用机械,2020-07-15,安徽,沪股通
博瑞医药,688166.SH,科创板,化学制药,2019-11-08,江苏,沪股通
炬光科技,688167.SH,科创板,元器件,2021-12-24,陕西,沪股通
安博通,688168.SH,科创板,软件服务,2019-09-06,北京,沪股通
石头科技,688169.SH,科创板,家用电器,2020-02-21,北京,沪股通
德龙激光,688170.SH,科创板,专用机械,2022-04-29,江苏,沪股通
纬德信息,688171.SH,科创板,软件服务,2022-01-27,广东,N
